restaurant_name,restaurant_url,neighborhood,address,coordinates,lat,long,cuisine_type,service_style,meal_focus,description,vegan,gluten_free,dairy_free
Brooks Shaw and Son's Old Country Store,http://www.caseyjones.com/,Regional,"56 Casey Jones Ln A, Jackson, TN 38305",Point(-88.85582961 35.66011338),35.66011338,-88.85582961,"Southern, Soul Food","Casual, Family-style","Lunch, Dinner","Brooks Shaw and Son’s Old Country Store, located in Jackson but beloved by Memphis visitors, offers a nostalgic dining experience with a buffet of classic Southern comfort dishes like fried chicken, turnip greens, and homemade pies. The atmosphere feels like stepping back in time. While rich Southern fare dominates, guests can enjoy vegetable-forward sides and salad options for a more balanced meal.",0,0,0
Ching’s Hot Wings,http://www.chingsbestwings.com/,East Memphis,"1264 Getwell Rd, Memphis, TN 38111",Point(-89.93028853 35.09748552),35.09748552,-89.93028853,"Wings, Fast Casual","Casual, Takeout","Lunch, Dinner","Ching’s Hot Wings is a local favorite for crispy, saucy wings offered in a variety of bold flavors, from classic mild to extra hot. The unpretentious, no-frills vibe makes it popular for takeout or a quick meal with friends. While wings are the focus, fries and veggie sides are available, providing options for those who want lighter or meatless accompaniments.",0,0,0
Club Handy,https://www.facebook.com/clubhandy/,Beale Street,"200 Beale St, Memphis, TN 38103",Point(-90.05124082 35.13974207),35.13974207,-90.05124082,"Bar, Live Music","Casual, Bar","Drinks, Light Snacks","Club Handy, nestled on historic Beale Street, is a classic blues bar offering live music performances and a lively, nostalgic atmosphere that honors Memphis’s music legacy. While primarily a nightlife and entertainment destination, it serves simple bar bites to complement the drinks. Options are limited for strict dietary needs, but guests can enjoy the music scene with light snacking.",0,0,0
Cozy Corner,http://www.cozycornerbbq.com/,Downtown Memphis,"735 North Pkwy, Memphis, TN 38105",Point(-90.03422642 35.15538933),35.15538933,-90.03422642,"BBQ, Southern","Casual, Family-style","Lunch, Dinner","Cozy Corner is a cherished family-run BBQ spot famous for its barbecued Cornish game hen, ribs, and brisket, all infused with a rich, smoky flavor. The humble, welcoming environment makes it a hidden gem for barbecue enthusiasts. Though meat is central, sides like baked beans and slaw offer simple vegetarian-friendly options.",0,1,0
Crazy Coop,http://www.crazycoopmain.com/,Downtown Memphis,"3 S Main St, Memphis, TN 38103",Point(-90.06205841 35.15410529),35.15410529,-90.06205841,"Fried Chicken, Wings","Casual, Fast Casual","Lunch, Dinner","Crazy Coop specializes in crispy fried chicken tenders and wings tossed in a variety of bold, flavorful sauces ranging from mild to fiery. The bright, laid-back interior and fast-casual format make it great for a quick and satisfying meal. While the menu is heavily meat-based, guests can enjoy fries and a few sides for lighter, vegetarian-friendly snacking.",0,0,0
Dyer’s on Beale,http://www.dyersonbeale.com/,Beale Street,"205 Beale St, Memphis, TN 38103",Point(-90.05102702 35.13955456),35.13955456,-90.05102702,"Burgers, Southern","Casual, Fast Casual","Lunch, Dinner","Dyer’s on Beale is a historic burger joint famous for its burgers deep-fried in a legendary seasoned grease that dates back over a century. The casual, bustling vibe fits perfectly on Beale Street. While primarily known for indulgent burgers, fries and sides round out the menu, providing lighter options for those looking to enjoy a classic Memphis stop without the heavier fare.",0,0,0
Earnestine and Hazel’s,https://earnestineandhazel.com/,—,"531 S Main St, Memphis, TN 38103",Point(-90.05937979 35.13311691),35.13311691,-90.05937979,"Bar, Soul Food","Casual, Bar","Lunch, Dinner","Earnestine and Hazel’s is an iconic dive bar known for its soulful, music-filled atmosphere and the legendary “Soul Burger,” a simple yet flavorful local favorite. The building's storied past adds to its character, drawing visitors from around the world. Vegetarian options are limited, but guests can soak in the rich Memphis music history while enjoying classic bar bites and casual Southern hospitality.",0,0,0
Fabulous Flavors and Friends,http://fabulousflavorsandfriends.com/,Whitehaven,"2063 E Brooks Rd, Memphis, TN 38116",Point(-89.99454202 35.06061547),35.06061547,-89.99454202,"Southern, Soul Food","Casual, Family-style","Lunch, Dinner","Fabulous Flavors and Friends serves up homestyle soul food classics like fried catfish, smothered pork chops, and savory sides in a welcoming, family-style environment. The menu celebrates comforting, made-from-scratch dishes that highlight Southern tradition. While focused on meat-based entrees, vegetarian sides like collard greens, yams, and mac and cheese provide satisfying options for non-meat eaters.",0,0,0
Fat Tuesday,https://www.fattuesdaymemphis.com/,Downtown Memphis,"8 S Main St Suite 101, Memphis, TN 38103",Point(-90.05260913 35.14504419),35.14504419,-90.05260913,"Drinks, Bar","Casual, Bar","Drinks, Snacks","Fat Tuesday brings the lively spirit of New Orleans to Memphis with its frozen daiquiris and festive atmosphere. It's a popular spot for grabbing colorful frozen drinks to-go or hanging out with friends in a casual, laid-back setting. Food offerings are minimal and focused on quick bar snacks rather than full meals, so dietary options are limited.",0,0,0
Gibson's Donuts,https://gibsons-donuts.res-menu.com/,East Memphis,"760 Mt Moriah Rd, Memphis, TN 38117",Point(-89.89497218 35.11047135),35.11047135,-89.89497218,"Snacks, Sweets, Donuts","Casual, Takeout","Breakfast, Late-night","A Memphis institution open 24,7, Gibson's Donuts is beloved for its fresh, fluffy donuts in classic and creative varieties. From old-fashioned glazed to maple bacon, there’s something for every sweet tooth. Vegetarian-friendly by nature, Gibson’s is a perfect stop for a late-night snack or a morning treat, embodying the warmth and simplicity of an old-school donut shop.",0,0,0
Gus's World Famous Chicken,http://www.gusfriedchicken.com/,East Memphis,"730 S Mendenhall Rd, Memphis, TN 38117",Point(-89.89453007 35.11120489),35.11120489,-89.89453007,"Fried Chicken, Southern","Casual, Fast Casual","Lunch, Dinner","Famous for its spicy, crispy fried chicken, Gus’s offers a true Memphis classic loved by locals and visitors alike. The simple, no-frills environment focuses all attention on the chicken, which is juicy and flavorful. Vegetarian options are limited to sides like beans, slaw, and fries, so it's best suited to those looking to indulge in the iconic fried chicken experience Memphis is known for.",0,0,0
Gus's World Famous Chicken,http://www.gusfriedchicken.com/,Downtown Memphis,"310 S Front St, Memphis, TN 38103",Point(-90.06709056 35.16640212),35.16640212,-90.06709056,"Fried Chicken, Southern","Casual, Fast Casual","Lunch, Dinner","Famous for its spicy, crispy fried chicken, Gus’s offers a true Memphis classic loved by locals and visitors alike. The simple, no-frills environment focuses all attention on the chicken, which is juicy and flavorful. Vegetarian options are limited to sides like beans, slaw, and fries, so it's best suited to those looking to indulge in the iconic fried chicken experience Memphis is known for.",0,0,0
Jerry’s Sno Cones and Burger Shack,http://www.jerryssnowcones.com/,Cordova,"1601 Bonnie Ln, Cordova, TN 38016",Point(-89.79128786 35.16927051),35.16927051,-89.79128786,"American, Fast Food, Snacks","Casual, Family-friendly","Lunch, Dinner","Jerry’s Sno Cones and Burger Shack is a fun, casual spot offering classic American fast food staples like burgers, fries, and refreshing sno cones. The simple menu includes vegetarian-friendly items such as veggie burgers and fries, making it a family-friendly stop for quick, flavorful bites and sweet treats, especially during Memphis’ warm months.",0,0,0
Marlowe’s Ribs,https://marlowesmemphis.com/,South Memphis,"4381 Elvis Presley Blvd, Memphis, TN 38116",Point(-90.02531714 35.02926022),35.02926022,-90.02531714,"BBQ, Southern","Casual, Family-style","Lunch, Dinner","Marlowe’s Ribs serves up classic Memphis-style BBQ in a relaxed, casual setting. Known for its tender ribs and flavorful sauces, it’s a go-to for barbecue lovers. Vegetarian options are limited, typically to classic Southern sides like baked beans and coleslaw, but the welcoming atmosphere and smoky aromas draw crowds looking for authentic Memphis BBQ.",0,1,0
One11Madison,http://one11madison.com/,Downtown Memphis,"111 Madison Ave, Memphis, TN 38103",Point(-90.05242993 35.14516283),35.14516283,-90.05242993,"New American, Upscale","Upscale, Fine Dining","Brunch, Dinner","Located downtown in a chic, three-level venue, One11 Madison delivers upscale brunch, dinner, and live music experiences with refined New American cuisine. Signature dishes span wild mushroom pasta, pimento shrimp, lobster linguine, sautéed Scottish salmon, rosemary chicken, and standout deviled eggs and salads. Many menu items are naturally gluten‑free or easily adapted. The polished ambiance, live jazz, and event hosting elevate any visit.",0,1,0
Payne’s Bar-B-Que,http://places.singleplatform.com/paynes-bar-b-que/menu?ref=google,—,"1762 Lamar Ave, Memphis, TN 38114",Point(-90.00305149 35.1184645),35.1184645,-90.00305149,"BBQ, Southern","Casual, Family-style","Lunch, Dinner","Payne’s Bar-B-Que delivers authentic Memphis BBQ in a casual, no-frills environment. Known for its smoked meats and tangy sauces, it offers a selection of traditional sides. Vegetarian options are limited but include some classic Southern sides like baked beans and coleslaw. The welcoming, laid-back atmosphere makes it a favorite among locals craving true Memphis flavor.",0,0,0
Pete and Sam’s,http://www.peteandsams.com/,—,"3886 Park Ave, Memphis, TN 38111",Point(-89.93292736 35.10815317),35.10815317,-89.93292736,"Bar & Grill, American","Casual, Bar","Lunch, Dinner","Pete and Sam’s is a neighborhood bar and grill offering a solid menu of burgers, sandwiches, and bar snacks. Vegetarian options such as salads and veggie burgers are available, and the friendly atmosphere invites both regulars and visitors to enjoy good food and drinks in a relaxed setting.",0,0,0
Pig on Beale,http://pigonbeale.com/,Beale Street,"167 Beale St, Memphis, TN 38103",Point(-90.05200445 35.139724),35.139724,-90.05200445,"BBQ, Southern","Casual, Family-style","Lunch, Dinner","Pig on Beale serves up classic Memphis BBQ with a lively atmosphere near Beale Street. The menu features smoked ribs, pulled pork, and savory sides. Vegetarian options are limited but some sides accommodate plant-based diners. This spot is popular with tourists and locals alike for its authentic flavors and vibrant vibe.",0,1,0
Pollard’s BBQ,https://pollardsbbq.com/s/Menu05242023.pdf,Whitehaven,"4560 Elvis Presley Blvd, Memphis, TN 38116",Point(-90.02448567 35.024954),35.024954,-90.02448567,"BBQ, Southern","Casual, Family-style","Lunch, Dinner","Pollard’s BBQ is a family-owned BBQ joint known for its tender meats and homemade sauces. The casual setting is perfect for enjoying Memphis-style smoked ribs and pulled pork. Vegetarian options are generally limited to classic Southern sides, but the warm hospitality and quality BBQ make it a must-visit for barbecue fans.",0,1,0
Rum Boogie Cafe,http://rumboogie.co/,Beale Street,"182 Beale St, Memphis, TN 38103",Point(-90.05152056 35.13984798),35.13984798,-90.05152056,"Southern, Bar & Grill","Casual, Bar","Lunch, Dinner","Rum Boogie Cafe is a vibrant live music venue on Beale Street, featuring a menu of Southern-inspired bar food and drinks. While primarily known for its energetic atmosphere and blues performances, the cafe also offers some vegetarian and gluten-free options. It’s a go-to spot for music lovers looking to enjoy great tunes alongside classic Memphis eats.",0,1,0
Smurfey's Smokehouse,https://streetfoodfinder.com/Smurfeys,Downtown Memphis,"62 N Main St, Memphis, TN 38103",Point(-90.05120651 35.14693803),35.14693803,-90.05120651,"BBQ, Southern","Casual, Family-style","Lunch, Dinner","Smurfey’s Smokehouse delivers authentic Memphis-style BBQ with slow-smoked meats and flavorful sauces. The casual eatery provides a range of classic sides, some vegetarian-friendly, and limited gluten-free options. The relaxed atmosphere and dedication to traditional barbecue techniques draw in BBQ aficionados seeking a genuine taste of Memphis.",0,1,0
South of Beale,http://www.southofbeale.com/,Downtown Memphis,"345 S Main St, Memphis, TN 38103",Point(-90.05626604 35.13733225),35.13733225,-90.05626604,"Bar & Grill, Southern","Casual, Bar","Lunch, Dinner","South of Beale offers a laid-back bar and grill experience with a menu including burgers, sandwiches, and Southern-inspired dishes. Vegetarian and gluten-free options are available, appealing to a broad audience. Known for its friendly service and lively atmosphere, it’s a favorite spot for casual dining and socializing.",0,1,0
South of Beale,http://www.southofbeale.com/,East Memphis,"5040 Sanderlin Ave, Memphis, TN 38117",Point(-89.89362421 35.11834607),35.11834607,-89.89362421,"Bar & Grill, Southern","Casual, Bar","Lunch, Dinner","South of Beale offers a laid-back bar and grill experience with a menu including burgers, sandwiches, and Southern-inspired dishes. Vegetarian and gluten-free options are available, appealing to a broad audience. Known for its friendly service and lively atmosphere, it’s a favorite spot for casual dining and socializing.",0,1,0
The Bar-B-Q Shop,https://thebar-b-qshop.com/,Midtown,"1782 Madison Ave, Memphis, TN 38104",Point(-90.00137741 35.13817139),35.13817139,-90.00137741,"BBQ, Southern","Casual, Family-style","Lunch, Dinner","The Bar-B-Q Shop is a local favorite for Memphis-style barbecue, serving slow-smoked ribs, pulled pork, and classic sides. The casual spot offers some vegetarian and gluten-free options, such as salads and baked potatoes. Known for its friendly service and authentic flavors, it’s a go-to destination for barbecue lovers seeking an unpretentious dining experience.",0,1,0
The Four Way Restaurant,http://fourway901.com/,East Memphis,"998 Mississippi Blvd, Memphis, TN 38126",Point(-90.03826845 35.11988721),35.11988721,-90.03826845,"Southern, Soul Food","Casual, Family-style","Lunch, Dinner","The Four Way serves classic Memphis soul food in a storied, corner‑restaurant atmosphere. Signature dishes include fried catfish, turkey with dressing, neckbones, collard greens, smothered cabbage, macaroni & cheese, and peach cobbler. Founded in 1946, it’s a beloved community hub woven into civil rights history, known for its warm service and deeply flavorful home‑style cooking.",0,0,0
Wings on the Fly,https://wingsontheflyfood.com/,Downtown Memphis,"4560 Millbranch Rd, Memphis, TN 38116",Point(-90.0212177 35.09270201),35.09270201,-90.0212177,"Wings, Fast Casual","Casual, Takeout","Lunch, Dinner","Wings on the Fly specializes in hand-breaded chicken wings with a variety of sauces and heat levels. It’s favored by those seeking quick, flavorful wings in a relaxed environment.",0,0,0
Arcade Restaurant,http://arcaderestaurant.com/menu/,Downtown Memphis,"540 S Main St, Memphis, TN 38103",Point(-90.05509664 35.15203942),35.15203942,-90.05509664,"Diner, Southern","Casual, Family-style","Breakfast, Lunch, Dinner","Arcade Restaurant, Memphis’s oldest cafe, offers a nostalgic, retro diner experience complete with hearty breakfast plates, milkshakes, and classic Southern comfort food. Its vintage charm and film-famous booths attract visitors year-round. While best known for its traditional fare, guests can find vegetarian-friendly options and simpler dishes to enjoy in this historic Beale Street favorite.",0,0,0
Alchemy,http://alchemymemphis.com/,Midtown,"940 Cooper St, Memphis, TN 38104",Point(-89.99000098 35.12020696),35.12020696,-89.99000098,"Bar, Small Plates","Casual, Bar","Lunch, Dinner","Alchemy in Midtown’s Cooper-Young district is a stylish restaurant and bar known for creative small plates, shareable dishes, and inventive cocktails. The lively, lounge-like vibe makes it perfect for relaxed evenings. The menu offers gluten-free and vegetarian-friendly options, welcoming diverse palates who enjoy a mix of bold flavors and sophisticated drinks.",0,1,0
Aldo's Pizza Pies,https://www.aldospizzapies.com/,Downtown Memphis,"100 S Main St Suite 101, Memphis, TN 38103",Point(-90.05548353 35.14752142),35.14752142,-90.05548353,"Pizza, Italian","Casual, Family-style","Lunch, Dinner","Aldo’s Pizza Pies delivers the same beloved thin-crust pizzas with inventive toppings and hearty slices. Its spacious, energetic space is ideal for sharing pies with friends or grabbing a late-night bite. Gluten-free crust is available, offering flexibility for those with dietary restrictions who still want to enjoy Memphis pizza culture.",0,1,0
Aldo's Pizza Pies,https://www.aldospizzapies.com/,Midtown,"752 Cooper St, Memphis, TN 38104",Point(-89.97750875 35.13197278),35.13197278,-89.97750875,"Pizza, Italian","Casual, Family-style","Lunch, Dinner","Aldo’s Pizza Pies delivers the same beloved thin-crust pizzas with inventive toppings and hearty slices. Its spacious, energetic space is ideal for sharing pies with friends or grabbing a late-night bite. Gluten-free crust is available, offering flexibility for those with dietary restrictions who still want to enjoy Memphis pizza culture.",0,1,0
Amerigo Italian Restaurant,https://amerigo.net/memphis/menu/,East Memphis,"1239 Ridgeway Rd, Memphis, TN 38119",Point(-89.85951215 35.09749447),35.09749447,-89.85951215,Italian,"Casual, Family-style","Lunch, Dinner","Amerigo Italian Restaurant serves comforting Italian classics like house-made pastas, wood-fired pizzas, and seafood dishes in a warm, inviting atmosphere. Gluten-free pasta and vegetarian dishes make it welcoming for a variety of guests seeking traditional flavors with modern accommodations.",0,1,0
Andrew Michael Italian Kitchen,http://andrewmichaelitaliankitchen.com/,East Memphis,"712 W Brookhaven Cir, Memphis, TN 38117",Point(-89.89044146 35.11322015),35.11322015,-89.89044146,Italian,"Upscale, Fine Dining","Lunch, Dinner","Andrew Michael Italian Kitchen blends refined Italian cooking with Southern influence, featuring handmade pastas and inventive dishes using local Memphis ingredients. The elegant yet cozy dining room sets the stage for memorable meals. The menu includes vegetarian-friendly options and can substitute gluten-free pasta for most of their pasta dishes.",0,1,0
Archives Bistro and Bar,https://hotelnapoleonmemphis.com/the-archives/,Downtown Memphis,"179 Madison Ave, Memphis, TN 38103",Point(-90.04987312 35.14427606),35.14427606,-90.04987312,"American, Bistro","Upscale, Fine Dining","Lunch, Dinner","Archives Bistro and Bar, located inside the Memphis Sheraton, serves refined American bistro dishes in an elegant, contemporary setting. Highlights include locally inspired plates, steaks, and fresh seafood. The menu includes several clearly labeled gluten-free options such as oysters, rack of lamb, and cauliflower steak.",0,1,0
Automatic Slim’s,http://www.automaticslimsmemphis.com/,Downtown Memphis,"83 S 2nd St, Memphis, TN 38103",Point(-90.0518461 35.14280027),35.14280027,-90.0518461,"Southern, Brunch","Casual, Family-style","Brunch, Lunch","Automatic Slim’s is a playful, colorful downtown spot known for its eclectic Southern-inspired comfort food and fun brunch cocktails. The laid-back yet trendy atmosphere makes it popular with locals and visitors alike. The menu includes vegetarian options and clearly-labeled gluten-free options.",0,1,0
Bardog Tavern,https://bardog.com/,Downtown Memphis,"73 Monroe Ave, Memphis, TN 38103",Point(-90.0536761 35.14446976),35.14446976,-90.0536761,"Bar, Pub","Casual, Bar","Lunch, Dinner","Bardog Tavern is a laid-back neighborhood gastropub known for its hearty sandwiches, burgers, and late-night eats, all served in a cozy, brick-lined space. The welcoming vibe makes it a local favorite. The menu includes vegetarian options and clearly-labeled gluten-free items.",0,1,0
Brain Food Memphis,http://www.brainfoodmemphis.com/,Midtown,"7946 Fischer Steel Rd, Cordova, TN 38018",Point(-89.79793221 35.14756886),35.14756886,-89.79793221,"American, Pasta, Seafood","Casual, Fast Casual","Lunch, Dinner","Brain Food Memphis serves build‑your‑own pasta bowls (rotini noodles with Alfredo sauce and toppings), seafood plates (including battered shrimp, catfish, lamb, sliders, and grilled vegetables), and more—all made fresh and well‑seasoned.",0,0,0
Brookhaven Pub and Grill,http://www.brookhavenpubandgrill.com/,East Memphis,"695 W Brookhaven Cir, Memphis, TN 38117",Point(-89.89078797 35.11212183),35.11212183,-89.89078797,"Bar & Grill, American","Casual, Bar","Lunch, Dinner","Brookhaven Pub and Grill is a relaxed neighborhood spot known for its welcoming patio, lively sports atmosphere, and comfort food favorites like burgers, wings, and quesadillas. The menu offers vegetarian options, lighter salads, and some gluten-free options.",0,1,0
Bryant’s Breakfast,https://bryantsbreakfast.com/,—,"3965 Summer Ave, Memphis, TN 38122",Point(-89.92840819 35.14894723),35.14894723,-89.92840819,"Breakfast, Diner, Southern","Casual, Family-style",Breakfast,"Bryant’s Breakfast is a long-standing Memphis institution famous for its no-frills, comforting Southern breakfast plates like country ham, biscuits, and fluffy pancakes. Guests can opt for egg plates, lighter biscuit sandwiches, and customize orders to suit simpler or vegetarian preferences.",0,1,0
By the Brewery,http://www.bythebrewery.com/,South Main,"496 Tennessee St #101, Memphis, TN 38103",Point(-90.06193795 35.13468348),35.13468348,-90.06193795,"Bar, Taproom","Casual, Bar","Lunch, Dinner",By the Brewery is a casual taproom offering a rotating selection of locally brewed beers paired with a small menu of shareable bites and snacks. Food offerings include vegetarian-friendly snacks and some gluten-free options.,0,1,0
Capriccio Grill,https://www.peabodymemphis.com/dine/capriccio-grill,Downtown Memphis,"149 Union Ave #10, Memphis, TN 38103",Point(-90.05160346 35.14281446),35.14281446,-90.05160346,"Italian, Steakhouse","Upscale, Fine Dining",Dinner,"Capriccio Grill at The Peabody offers an elegant, classic Italian steakhouse experience with expertly prepared steaks, seafood, and pasta dishes in a refined setting. Known for its warm service and luxurious vibe, it’s perfect for special occasions. Vegetarian pasta dishes and salads are available, and they are very accommodating for gluten-free requests.",0,1,0
Catherine and Mary’s,https://catherineandmarys.com/,Downtown Memphis,"272 S Main St ste 105-a, Memphis, TN 38103",Point(-90.05482938 35.13882386),35.13882386,-90.05482938,"Italian, Contemporary","Upscale, Fine Dining","Lunch, Dinner","Catherine and Mary’s delivers inventive Italian cuisine with Southern influences in a stylish, contemporary downtown setting. Chefs Andy Ticer and Michael Hudman emphasize seasonal ingredients and bold flavors. The restaurant offers gluten-free pasta and clean prep practices, making it suitable for gluten-sensitive diners.",0,1,0
Celtic Crossing,https://www.celticcrossingirishpub.com/,Cooper‑Young,"903 Cooper St, Memphis, TN 38104",Point(-89.9913248 35.12108781),35.12108781,-89.9913248,"Irish, Pub","Casual, Bar","Lunch, Dinner","Celtic Crossing offers an authentic Irish pub experience with hearty favorites like fish and chips, shepherd’s pie, and bangers and mash, complemented by a wide selection of beers and whiskies. Its large patio and live music nights create a lively atmosphere. Vegetarian-friendly options such as salads and veggie sandwiches are available.",0,0,0
Central BBQ,https://eatcbq.com/,East Memphis,"6201 Poplar Ave, Memphis, TN 38119",Point(-89.84374853 35.10561714),35.10561714,-89.84374853,"BBQ, Southern","Casual, Family-style","Lunch, Dinner","Central BBQ is a Memphis icon celebrated for its tender, slow-smoked meats, flavorful sauces, and laid-back, family-friendly atmosphere. Signature items include pulled pork, ribs, and barbecue nachos, all naturally gluten-free. Vegetarian-friendly sides include mac and cheese, potato salad, and green salads.",0,1,0
Central BBQ,https://eatcbq.com/,Downtown Memphis,"147 E Butler Ave, Memphis, TN 38103",Point(-90.05340776 35.14142311),35.14142311,-90.05340776,"BBQ, Southern","Casual, Family-style","Lunch, Dinner","Central BBQ is a Memphis icon celebrated for its tender, slow-smoked meats, flavorful sauces, and laid-back, family-friendly atmosphere. Signature items include pulled pork, ribs, and barbecue nachos, all naturally gluten-free. Vegetarian-friendly sides include mac and cheese, potato salad, and green salads.",0,1,0
Char Restaurant,https://memphis.charrestaurant.com/,East Memphis,"431 S Highland St #120, Memphis, TN 38111",Point(-89.94527643 35.11977309),35.11977309,-89.94527643,"Steakhouse, Southern","Upscale, Fine Dining","Lunch, Dinner","Char Restaurant offers an upscale, classic steakhouse experience with prime cuts of beef, fresh seafood, and elegant Southern-inspired sides. Known for attentive service and an extensive wine list, it’s ideal for special occasions. Fresh salads, vegetarian sides, and a dedicated gluten-free menu are available.",0,1,0
Charlie Vergos’ Rendezvous,http://www.hogsfly.com/,Downtown Memphis,"52 S 2nd St, Memphis, TN 38103",Point(-90.0512637 35.14356293),35.14356293,-90.0512637,"BBQ, Southern","Casual, Family-style","Lunch, Dinner","Charlie Vergos’ Rendezvous is an iconic downtown spot famous for Memphis-style dry-rub ribs and a lively historic basement dining room. While focused on ribs and pork plates, guests can enjoy sides like beans, slaw, and cheese plates. Many menu items are naturally gluten-free.",0,1,0
